Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Hot Rod,2007,39,42906.0,Akiva Schaffer," For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod...","Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride",
Game Night,2018,85,99839.0,John Francis Daley, Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party...,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",With a talented cast turned loose on a loaded premise -- and a sharp script loaded with dark comedy and unexpected twists --
The First Wives Club,1996,49,53174.0,Hugh Wilson," Despondent over the marriage of her ex-husband to a younger woman, a middle-aged divorcée plunges to her death from her...","Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith",
Scary Movie,2000,52,54973.0,Keenen Ivory Wayans," Defying the very notion of good taste, Scary Movie out-parodies the pop culture parodies with a no-holds barred assault on...","Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth",Critics say Scary Movie overloads on crudity and grossness to get its laughs.
Blockers,2018,84,96896.0,Kay Cannon," Julie, Kayla and Sam are three high school seniors who make a pact to lose their virginity on prom night....","Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton",
The Bank Dick,1940,100,102063.0,Edward F. Cline, Egbert Sousé (W.C. Fields) becomes an unexpected hero when a bank robber falls over a bench he's occupying. Now considered...,"W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio",No consensus yet.
Mrs. Doubtfire,1993,72,75059.0,Chris Columbus," Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help...","Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein","On paper, Mrs. Doubtfire might seem excessively broad or sentimental, but Robin Williams shines so brightly in the title role that the end result is difficult to resist."
Pitch Perfect,2012,81,86536.0,Jason Moore," College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...","Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine","Pitch Perfect's plot is formulaic, but the performances are excellent and the musical numbers are toe-tapping as well."
Four Lions,2009,83,87269.0,Christopher Morris," A group of young Muslim men living in Sheffield decide to wage jihad, and they hatch an inept plan to...","Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak","Its premise suggests brazenly tasteless humor, but"
Safety Last,1923,97,103200.0,Fred C. Newmeyer," A boy (Harold Lloyd) moves to New York City to make enough money to support his loving girlfriend (Mildred Davis),...","Harold Lloyd, Mildred Davis, Bill Strother, Noah Young","Persuasive enough to give audiences acrophobia when they aren't laughing at Harold Lloyd's antics,"
Big,1988,97,102285.0,Penny Marshall," After a wish turns 12-year-old Josh Baskin (David Moscow) into a 30-year-old man (Tom Hanks), he heads to New York...","Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard","Refreshingly sweet and undeniably funny,"
Wet Hot American Summer,2001,37,39443.0,David Wain," Set on the last day of camp, in the hot summer of 1981, ""Wet Hot American Summer"" follows a group...","Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau",
Barbershop,2002,83,85976.0,Tim Story, A smart comedy about a day in the life of a barbershop on the south side of Chicago. Calvin (Ice...,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas","Besides bringing on the laughs, Barbershop displays a big heart and demonstrates the value of community."
Dazed and Confused,1993,92,95822.0,Richard Linklater," This coming-of-age film follows the mayhem of group of rowdy teenagers in Austin, Texas, celebrating the last day of high...","Jason London, Wiley Wiggins, Sasha Jenson, Rory Cochrane","Featuring an excellent ensemble cast, a precise feel for the 1970s, and a killer soundtrack, Dazed and Confused is a funny, affectionate, and clear-eyed look at high school life."
Ace Ventura: Pet Detective,1994,49,52604.0,Tom Shadyac," When the dolphin mascot of Miami's NFL team is abducted, Ace Ventura (Jim Carrey), a zany private investigator who specializes...","Jim Carrey, Courteney Cox, Sean Young, Tone Loc","Jim Carrey's twitchy antics and gross-out humor are on full, bombastic display in"
Idiocracy,2006,73,73498.0,Mike Judge," In 2005, average in every way private Joe Bowers (Luke Wilson) is selected to take part in a secret military...","Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","Frustratingly uneven yet enjoyable overall,"
Team America: World Police,2004,77,84016.0,Trey Parker," When North Korean ruler Kim Jong-il (Trey Parker) orchestrates a global terrorist plot, it's up to the heavily armed marionettes...","Trey Parker, Matt Stone, Kristen Miller, Masasa",Team America will either offend you or leave you in stitches. It'll probably do both.
Kissing Jessica Stein,2001,84,87739.0,Charles Herman-Wurmfeld," Jessica (Jennifer Westfeldt) is at the end of her emotional rope. She happens upon an intriguing personal ad, whose only...","Jennifer Westfeldt, Heather Juergensen, Scott Cohen, Tovah Feldshuh",A trite but refreshing and comical spin on nature of love.
Trainwreck,2015,84,95286.0,Judd Apatow," Ever since her father drilled into her head that monogamy isn't realistic, magazine writer Amy (Amy Schumer) has made promiscuity...","Amy Schumer, Bill Hader, Brie Larson, Colin Quinn",
Pee-wee's Big Adventure,1985,87,89155.0,Tim Burton," Pee-wee Herman (Paul Reubens), an eccentric child-like man, loves his red bicycle and will not sell it to his envious...","Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger",
Tommy Boy,1995,41,42431.0,Peter Segal," After his beloved father (Brian Dennehy) dies, dimwitted Tommy Callahan (Chris Farley) inherits a near-bankrupt automobile parts factory in Sandusky,...","Chris Farley, David Spade, Brian Dennehy, Bo Derek","Though it benefits from the comic charms of its two leads,"
Life,1999,51,51764.0,Ted Demme," During Prohibition, loudmouth Harlem grifter Ray (Eddie Murphy) and the no-nonsense Claude (Martin Lawrence) team up on a bootlegging mission...","Eddie Murphy, Martin Lawrence, Obba Babatunde, Ned Beatty",Entertaining if not over-the-top humor from a solid comic duo provides plenty of laughs.
Zoolander,2001,64,69427.0,Ben Stiller," Propelled to the top of the fashion world by a photogenic gaze he calls ""Blue Steel,"" dimwitted male model Derek...","Ben Stiller, Owen Wilson, Will Ferrell, Christine Taylor","A wacky satire on the fashion industry, Zoolander is one of those deliberately dumb comedies that can deliver genuine laughs."
Super Troopers,2001,36,37555.0,Jay Chandrasekhar," Always looking for action, five over-enthusiastic but under-stimulated Vermont State Troopers raise hell on the highway, keeping motorists anxiously looking...","Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter","A more-miss -than-hit affair, Super Troopers will most likely appeal to those looking for something silly."
Happy Gilmore,1996,61,63827.0,Dennis Dugan, All Happy Gilmore (Adam Sandler) has ever wanted is to be a professional hockey player. But he soon discovers he...,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay","Those who enjoy Adam Sandler's schtick will find plenty to love in this gleefully juvenile take on professional golf; those who don't, however, will find it unfunny and forgettable."
21 Jump Street,2012,85,94109.0,Phil Lord," When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances...","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","A smart, affectionate satire of '80s nostalgia and teen movie tropes,"
Bill & Ted's Excellent Adventure,1989,81,84977.0,Stephen Herek," Bill (Alex Winter) and Ted (Keanu Reeves) are high school buddies starting a band. However, they are about to fail...","Keanu Reeves, Alex Winter, George Carlin, Bernie Casey","Keanu Reeves and Alex Winter are just charming, goofy, and silly enough to make this fluffy time-travel Adventure work."
Broadcast News,1987,98,101780.0,James L. Brooks, Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even...,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",Blockbuster dramatist James L. Brooks delivers with
Lost in America,1985,97,97744.0,Albert Brooks," After being snubbed at his advertising job, Los Angeles yuppie David Howard (Albert Brooks) convinces his wife, Linda (Julie Hagerty),...","Albert Brooks, Julie Hagerty, Michael Greene, Tom Tarpey","A satire of the American fantasy of leaving it all behind,"
In the Loop,2009,94,100046.0,Armando Iannucci," During an interview, British Cabinet Minister Simon Foster (Tom Hollander) delivers an off-the-cuff remark that war in the Middle East...","Peter Capaldi, Tom Hollander, Gina McKee, James Gandolfini",
Crazy Rich Asians,2018,91,112991.0,Jon M. Chu," Rachel Chu is happy to accompany her longtime boyfriend, Nick, to his best friend's wedding in Singapore. She's also surprised...","Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan","With a terrific cast and a surfeit of visual razzle dazzle,"
Shaolin Soccer,2001,90,93269.0,Stephen Chow," All his life, an ordinary young man (Stephen Chow) has been treated like dirt. Still, he's never given up believing...","Stephen Chow, Zhao Wei, Patrick Tse, Cecilia Cheung","The plot is utterly ridiculous, and the soccer in the movie is unlike any ever played anywhere on Earth, but watching Shaolin Soccer, you will probably find it impossible to care."
Top Five,2014,86,92965.0,Chris Rock," Though he began in stand-up comedy, Andre Allen (Chris Rock) hit the big-time as the star of a trilogy of...","Chris Rock, Rosario Dawson, Kevin Hart, Gabrielle Union","As smart, funny, and trenchant as writer-director-star Chris Rock's best standup work,"
Road to Morocco,1942,86,85880.0,David Butler, Starving vagabond Jeff (Bing Crosby) sells best friend Orville (Bob Hope) into slavery in a Moroccan marketplace to buy food....,"Bing Crosby, Bob Hope, Dorothy Lamour, Anthony Quinn",No consensus yet.
Up in Smoke,1978,47,48233.0,Lou Adler," An unemployed pot-smoking slacker and amateur drummer, Anthony Stoner (Tommy Chong) ditches his strict parents and hits the road, eventually...","Cheech Marin, Tommy Chong, Stacy Keach, Edie Adams","Oft-quoted but undeniably flawed,"
The 40-Year-Old Virgin,2005,85,93025.0,Judd Apatow," Andy Stitzer (Steve Carell) is an amiable single guy who works at a big-box store. Living alone, 40-year-old Andy spends...","Steve Carell, Catherine Keener, Paul Rudd, Romany Malco","Steve Carell's first star turn scores big with a tender treatment of its titular underdog, using raunchy but realistically funny comedy to connect with adult audiences."
The Grand Budapest Hotel,2014,92,104910.0,Wes Anderson," In the 1930s, the Grand Budapest Hotel is a popular European ski resort, presided over by concierge Gustave H. (Ralph...","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","Typically stylish but deceptively thoughtful,"
In Bruges,2008,84,91466.0,Martin McDonagh," After a particularly difficult job, hit men Ray (Colin Farrell) and Ken (Brendan Gleeson) head to Belgium to hide out...","Colin Farrell, Brendan Gleeson, Ralph Fiennes, Ciarán Hinds","Featuring witty dialogue and deft performances,"
American Pie,1999,61,65425.0,Paul Weitz," A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as...","Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein","So embarrassing it's believable, American Pie succeeds in bringing back the teen movie genre."
All About My Mother,1999,98,100572.0,Pedro Almodóvar, A Greek saying states that only women who have washed their eyes with tears can see clearly. This saying does...,"Cecilia Roth, Eloy Azorín, Marisa Paredes, Penélope Cruz","Almodovar weaves together a magnificent tapestry of femininity with an affectionate wink to classics of theater and cinema in this poignant story of love, loss and compassion."
Burn After Reading,2008,78,87727.0,Joel Coen, When a disc containing memoirs of a former CIA analyst (John Malkovich) falls into the hands of Linda Litzke (Frances...,"George Clooney, Frances McDormand, John Malkovich, Tilda Swinton",With
Legally Blonde,2001,70,75795.0,Robert Luketic, Elle Woods (Reese Witherspoon) has it all. She wants nothing more than to be Mrs. Warner Huntington III. But there...,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis","Though the material is predictable and formulaic, Reese Witherspoon's funny, nuanced performance makes this movie better than it would have been otherwise."
Pride,2014,92,98335.0,Matthew Warchus," Realizing that they share common foes in Margaret Thatcher, the police and the conservative press, London-based gays and lesbians lend...","Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine","Earnest without being didactic and uplifting without stooping to sentimentality,"
"It's a Mad, Mad, Mad, Mad World",1963,70,73338.0,Stanley Kramer," The story begins during a massive traffic jam, caused by reckless driver Smiler Grogan (Jimmy Durante), who, before kicking the...","Spencer Tracy, Edie Adams, Milton Berle, Jimmy Durante","It's long, frantic, and stuffed to the gills with comic actors and set pieces -- and that's exactly its charm."
Beetlejuice,1988,85,89126.0,Tim Burton," After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their...","Michael Keaton, Alec Baldwin, Geena Davis, Jeffrey Jones","Brilliantly bizarre and overflowing with ideas,"
House Party,1990,93,94393.0,Reginald Hudlin," Play's parents are out of town, and he's planning the house party to end all house parties. His best friend,...","Robin Harris, Christopher Reid, Christopher Martin, Martin Lawrence","House Party is a light, entertaining teen comedy with an infectious energy."
The Birdcage,1996,81,83827.0,Mike Nichols," In this remake of the classic French farce ""La Cage aux Folles,"" engaged couple Val Goldman (Dan Futterman) and Barbara...","Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest","Mike Nichols wrangles agreeably amusing performances from Robin Williams and Nathan Lane in this fun, if not quite essential, remake of the French comedy La Cage aux Folles."
City Slickers,1991,91,92741.0,Ron Underwood," Every year, three friends take a vacation away from their wives. This year, henpecked Phil (Daniel Stern), newly married Ed...","Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig","With a supremely talented cast and just enough midlife drama to add weight to its wildly silly overtones,"
Stripes,1981,88,89752.0,Ivan Reitman, Hard-luck cabbie John Winger (Bill Murray) -- directionless after being fired from his job and dumped by his girlfriend --...,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles",A raucous military comedy that features Bill Murray and his merry cohorts approaching the peak of their talents.
Abbott and Costello Meet Frankenstein,1948,89,91921.0,Charles Barton," In the first of Bud Abbott and Lou Costello's horror vehicles for Universal Pictures, the inimitable comic duo star as...","Bud Abbott, Lou Costello, Bela Lugosi, Lenore Aubert",A zany horror spoof that plays up and then plays into the best of Universal horror cliches.
Clue,1985,68,69069.0,Jonathan Lynn," Based on the popular board game, this comedy begins at a dinner party hosted by Mr. Boddy, where he admits...","Eileen Brennan, Martin Mull, Lesley Ann Warren, Tim Curry",A robust ensemble of game actors elevate
Spy,2015,95,104866.0,Paul Feig," Despite having solid field training, CIA analyst Susan Cooper (Melissa McCarthy) has spent her entire career as a desk jockey,...","Melissa McCarthy, Jason Statham, Rose Byrne, Miranda Hart","Simultaneously broad and progressive,"
I Like It Like That,1994,88,90082.0,Darnell Martin, Chino (Jon Seda) isn't the best husband to Lisette (Lauren Vélez). His job as a bicycle messenger can barely support...,"Lauren Vélez, Jon Seda, Tomas Melly, Desiree Casado","A richly textured romantic comedy,"
Bridget Jones's Diary,2001,80,85437.0,Sharon Maguire," At the start of the New Year, 32-year-old Bridget (Renée Zellweger) decides it's time to take control of her life...","Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones","Though there was controversy over the choice of casting, Zellweger's Bridget Jones is a sympathetic, likable, funny character, giving this romantic comedy a lot of charm."
The School of Rock,2003,92,98399.0,Richard Linklater, Overly enthusiastic guitarist Dewey Finn (Jack Black) gets thrown out of his bar band and finds himself in desperate need...,"Jack Black, Joan Cusack, Mike White, Sarah Silverman","Black's exuberant, gleeful performance turns School of Rock into a hilarious, rocking good time."
Moonstruck,1987,94,97863.0,Norman Jewison," No sooner does Italian-American widow Loretta (Cher) accept a marriage proposal from her doltish boyfriend, Johnny (Danny Aiello), than she...","Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","Led by energetic performances from Nicolas Cage and Cher, Moonstruck is an exuberantly funny tribute to love and one of the decade's most appealing comedies."
The In-Laws,1979,88,87113.0,Arthur Hiller," Mild-mannered dentist Sheldon Kornpett (Alan Arkin) is uncomfortable with his daughter's marriage after meeting her future father-in-law, Vincent Ricardo (Peter...","Peter Falk, Alan Arkin, Richard Libertini, Nancy Dussault",No consensus yet.
The Ladykillers,1955,100,102433.0,Alexander Mackendrick," Mrs. Wilberforce (Katie Johnson) likes to report suspicious behavior to the police. Unaware of her reputation, the dapper thief Professor...","Alec Guinness, Katie Johnson, Cecil Parker, Herbert Lom",
A League of Their Own,1992,80,86410.0,Penny Marshall," As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up...","Tom Hanks, Geena Davis, Madonna, Lori Petty","Sentimental and light, but still thoroughly charming, A League of Their Own is buoyed by solid performances from a wonderful cast."
Dirty Rotten Scoundrels,1988,88,88974.0,Frank Oz," Con artist Lawrence Jamieson (Michael Caine) is a longtime resident of a luxurious coastal resort, where he enjoys the fruits...","Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers","A buoyant, clever update of the conman flick"
"Good Morning, Vietnam",1987,91,92878.0,Barry Levinson, Radio funny man Adrian Cronauer (Robin Williams) is sent to Vietnam to bring a little comedy back into the lives...,"Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana","A well-calibrated blend of manic comedy and poignant drama,"
M*A*S*H,1970,84,88413.0,Robert Altman," Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform...","Donald Sutherland, Elliott Gould, Sally Kellerman, Tom Skerritt","Bold, timely, subversive, and above all funny,"
When Harry Met Sally...,1989,91,96005.0,Rob Reiner," In 1977, college graduates Harry Burns (Billy Crystal) and Sally Albright (Meg Ryan) share a contentious car ride from Chicago...","Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby","Rob Reiner's touching, funny film set a new standard for romantic comedies, and he was ably abetted by the sharp interplay between Billy Crystal and Meg Ryan."
Harold & Kumar Go to White Castle,2004,74,78809.0,Danny Leiner," Nerdy accountant Harold (John Cho) and his irrepressible friend, Kumar (Kal Penn), get stoned watching television and find themselves utterly...","John Cho, Kal Penn, Paula Garcés, Neil Patrick Harris",The likable leads and subversion of racial stereotypes elevate Harold and Kumar above the typical stoner comedy.
Napoleon Dynamite,2004,72,78005.0,Jared Hess," In small-town Preston, Idaho, awkward teen Napoleon Dynamite (Jon Heder) has trouble fitting in. After his grandmother is injured in...","Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez","A charming, quirky, and often funny comedy."
Arthur,1981,88,88641.0,Steve Gordon, Wealthy New York City playboy Arthur Bach (Dudley Moore) is perpetually drunk and completely rudderless. Dutifully supported by his sharp-tongued...,"Dudley Moore, John Gielgud, Liza Minnelli, Geraldine Fitzgerald",Dudley Moore brings a boozy charm to
Tootsie,1982,90,93920.0,Sydney Pollack, New York actor Michael Dorsey (Dustin Hoffman) is a talented perfectionist who is so hard on himself and others that...,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",
Best in Show,2000,93,96973.0,Christopher Guest," The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds...","Michael Hitchcock, Parker Posey, Eugene Levy, Catherine O'Hara","A fine example of writer-director-star Christopher Guest's gift for improv comedy,"
"The Adventures of Priscilla, Queen of the Desert",1994,96,97398.0,Stephan Elliott," When drag queen Anthony (Hugo Weaving) agrees to take his act on the road, he invites fellow cross-dresser Adam (Guy...","Terence Stamp, Hugo Weaving, Guy Pearce, Bill Hunter",While its premise is ripe for comedy -- and it certainly delivers its fair share of laughs --
Mean Girls,2004,84,91695.0,Mark Waters, Teenage Cady Heron (Lindsay Lohan) was educated in Africa by her scientist parents. When her family moves to the suburbs...,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows","Elevated by a brilliant screenplay and outstanding ensemble cast,"
Spaceballs,1987,55,56968.0,Mel Brooks," In a distant galaxy, planet Spaceball has depleted its air supply, leaving its citizens reliant on a product called ""Perri-Air.""...","Mel Brooks, John Candy, Rick Moranis, Bill Pullman",There's fine spoofery and amusing characters in
Sister Act,1992,74,75668.0,Emile Ardolino," When lively lounge singer Deloris Van Cartier (Whoopi Goldberg) sees her mobster beau, Vince LaRocca (Harvey Keitel), commit murder, she...","Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena",Looking for a sweet musical comedy about a witness to a crime hiding out from killers in a convent? There's nun better than
Step Brothers,2008,55,62563.0,Adam McKay," Brennan Huff (Will Ferrell) and Dale Doback (John C. Reilly) have one thing in common: they are both lazy, unemployed...","Will Ferrell, John C. Reilly, Richard Jenkins, Mary Steenburgen",
UHF,1989,61,61120.0,Jay Levey," After losing yet another job, George (Weird Al Yankovic) wonders if there is any career that can handle his outrageous...","Weird Al Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards",
National Lampoon's Vacation,1983,93,96523.0,Harold Ramis," Accompanied by their children (Dana Barron, Anthony Michael Hall), Clark Griswold (Chevy Chase) and his wife, Ellen (Beverly D'Angelo), are...","Chevy Chase, Beverly D'Angelo, Christie Brinkley, Anthony Michael Hall","Blessed by a brilliantly befuddled star turn from Chevy Chase,"
Galaxy Quest,1999,90,94324.0,Dean Parisot, The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed...,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",Intelligent and humorous satire with an excellent cast -- no previous Trekkie knowledge needed to enjoy this one.
